courseCode,section,recordTime,quota,enrol,avail,wait
COMP 3111H,L1 (2096),1629906544,40,4,36,0
COMP 3111H,L1 (2096),1629947105,40,5,35,0
COMP 3111H,L1 (2096),1629948905,40,6,34,0
COMP 3111H,L1 (2096),1629952505,40,7,33,0
COMP 3111H,L1 (2096),1629953407,40,8,32,0
COMP 3111H,L1 (2096),1629956106,40,9,31,0
COMP 3111H,L1 (2096),1629959706,40,10,30,0
COMP 3111H,L1 (2096),1629963306,40,11,29,0
COMP 3111H,L1 (2096),1629965706,40,12,28,0
COMP 3111H,L1 (2096),1629967506,40,16,24,0
COMP 3111H,L1 (2096),1629970207,40,18,22,0
COMP 3111H,L1 (2096),1629971107,40,19,21,0
COMP 3111H,L1 (2096),1630029606,40,21,19,0
COMP 3111H,L1 (2096),1630036807,40,22,18,0
COMP 3111H,L1 (2096),1630041306,40,23,17,0
COMP 3111H,L1 (2096),1630055706,40,24,16,0
COMP 3111H,L1 (2096),1630057506,40,23,17,0
COMP 3111H,L1 (2096),1630058406,40,22,18,0
COMP 3111H,L1 (2096),1630218606,40,23,17,0
COMP 3111H,L1 (2096),1630302306,40,24,16,0
COMP 3111H,L1 (2096),1630305907,40,25,15,0
COMP 3111H,L1 (2096),1630422007,40,26,14,0
COMP 3111H,L1 (2096),1630488607,40,25,15,0
COMP 3111H,L1 (2096),1630569607,40,25,15,1
COMP 3111H,L1 (2096),1630683006,40,25,15,2
COMP 3111H,L1 (2096),1630978206,40,27,13,0
COMP 3111H,L1 (2096),1630997106,40,26,14,0
COMP 3111H,L1 (2096),1631363406,40,25,15,0
COMP 3111H,L1 (2096),1631367006,40,24,16,0
COMP 3111H,L1 (2096),1631521807,40,23,17,0
COMP 3111H,L1 (2096),1631604606,40,22,18,0
