courseCode,section,recordTime,quota,enrol,avail,wait
COMP 4901T,L1 (2179),1629945365,60,1,59,0
COMP 4901T,L1 (2179),1629947105,60,2,58,0
COMP 4901T,L1 (2179),1629950105,60,4,56,0
COMP 4901T,L1 (2179),1629952505,60,5,55,0
COMP 4901T,L1 (2179),1629956106,60,6,54,0
COMP 4901T,L1 (2179),1629959706,60,7,53,0
COMP 4901T,L1 (2179),1629963306,60,8,52,0
COMP 4901T,L1 (2179),1629964206,60,10,50,0
COMP 4901T,L1 (2179),1629965706,60,9,51,0
COMP 4901T,L1 (2179),1629976506,60,10,50,0
COMP 4901T,L1 (2179),1629986407,60,11,49,0
COMP 4901T,L1 (2179),1630036807,60,12,48,0
COMP 4901T,L1 (2179),1630055706,60,11,49,0
COMP 4901T,L1 (2179),1630059307,60,12,48,0
COMP 4901T,L1 (2179),1630465207,60,11,49,0
COMP 4901T,L1 (2179),1630486806,60,12,48,0
COMP 4901T,L1 (2179),1630566906,60,14,46,0
COMP 4901T,L1 (2179),1630571406,60,15,45,0
COMP 4901T,L1 (2179),1630573207,60,14,46,0
COMP 4901T,L1 (2179),1630726208,60,13,47,0
COMP 4901T,L1 (2179),1630759506,60,14,46,0
COMP 4901T,L1 (2179),1630875607,60,13,47,0
COMP 4901T,L1 (2179),1630907106,60,12,48,0
COMP 4901T,L1 (2179),1631082607,60,11,49,0
COMP 4901T,L1 (2179),1631089806,60,12,48,0
COMP 4901T,L1 (2179),1631109606,60,13,47,0
COMP 4901T,L1 (2179),1631171707,60,12,48,0
COMP 4901T,L1 (2179),1631269807,60,11,49,0
COMP 4901T,L1 (2179),1631500206,60,10,50,0
COMP 4901T,L1 (2179),1631584806,60,11,49,0
COMP 4901T,L1 (2179),1631595607,60,10,50,0
COMP 4901T,L1 (2179),1631608206,60,9,51,0
COMP 4901T,L1 (2179),1631619007,60,8,52,0
