courseCode,section,recordTime,quota,enrol,avail,wait
COMP 4901U,L1 (2181),1629941764,60,2,58,0
COMP 4901U,L1 (2181),1629943566,60,3,57,0
COMP 4901U,L1 (2181),1629945365,60,6,54,0
COMP 4901U,L1 (2181),1629946506,60,7,53,0
COMP 4901U,L1 (2181),1629947105,60,8,52,0
COMP 4901U,L1 (2181),1629948905,60,9,51,0
COMP 4901U,L1 (2181),1629950105,60,10,50,0
COMP 4901U,L1 (2181),1629950706,60,12,48,0
COMP 4901U,L1 (2181),1629952505,60,15,45,0
COMP 4901U,L1 (2181),1629953407,60,16,44,0
COMP 4901U,L1 (2181),1629956106,60,17,43,0
COMP 4901U,L1 (2181),1629957007,60,18,42,0
COMP 4901U,L1 (2181),1629957908,60,19,41,0
COMP 4901U,L1 (2181),1629960606,60,20,40,0
COMP 4901U,L1 (2181),1629962407,60,21,39,0
COMP 4901U,L1 (2181),1629965706,60,22,38,0
COMP 4901U,L1 (2181),1629967506,60,24,36,0
COMP 4901U,L1 (2181),1629972905,60,25,35,0
COMP 4901U,L1 (2181),1629976506,60,26,34,0
COMP 4901U,L1 (2181),1629981007,60,27,33,0
COMP 4901U,L1 (2181),1630036807,60,28,32,0
COMP 4901U,L1 (2181),1630041306,60,29,31,0
COMP 4901U,L1 (2181),1630055706,60,28,32,0
COMP 4901U,L1 (2181),1630062006,60,27,33,0
COMP 4901U,L1 (2181),1630119607,60,28,32,0
COMP 4901U,L1 (2181),1630124106,60,29,31,0
COMP 4901U,L1 (2181),1630297807,60,28,32,0
COMP 4901U,L1 (2181),1630327507,60,29,31,0
COMP 4901U,L1 (2181),1630484106,60,30,30,0
COMP 4901U,L1 (2181),1630486806,60,31,29,0
COMP 4901U,L1 (2181),1630488607,60,32,28,0
COMP 4901U,L1 (2181),1630492207,60,33,27,0
COMP 4901U,L1 (2181),1630560606,60,34,26,0
COMP 4901U,L1 (2181),1630561507,60,35,25,0
COMP 4901U,L1 (2181),1630566906,60,34,26,0
COMP 4901U,L1 (2181),1630568706,60,33,27,0
COMP 4901U,L1 (2181),1630584007,60,32,28,0
COMP 4901U,L1 (2181),1630589406,60,31,29,0
COMP 4901U,L1 (2181),1630639806,60,32,28,0
COMP 4901U,L1 (2181),1630661407,60,33,27,0
COMP 4901U,L1 (2181),1631014206,60,32,28,0
COMP 4901U,L1 (2181),1631078106,60,33,27,0
COMP 4901U,L1 (2181),1631085306,60,32,28,0
