courseCode,section,recordTime,quota,enrol,avail,wait
COMP 4911,L1 (2185),1629942665,20,1,19,0
COMP 4911,L1 (2185),1629945365,20,3,17,0
COMP 4911,L1 (2185),1629946506,20,4,16,0
COMP 4911,L1 (2185),1629952505,20,7,13,0
COMP 4911,L1 (2185),1629954305,20,6,14,0
COMP 4911,L1 (2185),1629956106,20,8,12,0
COMP 4911,L1 (2185),1629959706,20,9,11,0
COMP 4911,L1 (2185),1629963306,20,10,10,0
COMP 4911,L1 (2185),1629967506,20,12,8,0
COMP 4911,L1 (2185),1629968407,20,11,9,0
COMP 4911,L1 (2185),1629997206,20,12,8,0
COMP 4911,L1 (2185),1630008006,20,13,7,0
COMP 4911,L1 (2185),1630015207,20,14,6,0
COMP 4911,L1 (2185),1630035006,20,15,5,0
COMP 4911,L1 (2185),1630039506,20,16,4,0
COMP 4911,L1 (2185),1630129506,20,17,3,0
COMP 4911,L1 (2185),1630270805,20,16,4,0
COMP 4911,L1 (2185),1630294207,20,17,3,0
COMP 4911,L1 (2185),1630461607,20,18,2,0
COMP 4911,L1 (2185),1630909806,20,19,1,0
COMP 4911,L1 (2185),1630998007,20,20,0,0
COMP 4911,L1 (2185),1631109606,20,19,1,0
COMP 4911,L1 (2185),1631167207,20,17,3,0
COMP 4911,L1 (2185),1631275206,20,16,4,0
COMP 4911,L1 (2185),1631619007,20,17,3,0
