courseCode,section,recordTime,quota,enrol,avail,wait
COMP 4971C,R1 (4161),1629946506,10,1,9,0
COMP 4971C,R1 (4161),1629969306,10,2,8,0
COMP 4971C,R1 (4161),1630029606,10,3,7,0
COMP 4971C,R1 (4161),1630033206,10,4,6,0
COMP 4971C,R1 (4161),1630036807,10,6,4,0
COMP 4971C,R1 (4161),1630038606,10,7,3,0
COMP 4971C,R1 (4161),1630039506,10,8,2,0
COMP 4971C,R1 (4161),1630296006,11,8,3,0
COMP 4971C,R1 (4161),1630312206,11,9,2,0
COMP 4971C,R1 (4161),1630405807,11,10,1,0
COMP 4971C,R1 (4161),1630548007,12,10,2,0
COMP 4971C,R1 (4161),1630559706,12,11,1,0
COMP 4971C,R1 (4161),1631068206,13,11,2,0
COMP 4971C,R1 (4161),1631086207,13,12,1,0
COMP 4971C,R1 (4161),1631239206,15,12,3,0
COMP 4971C,R1 (4161),1631331007,15,13,2,0
COMP 4971C,R1 (4161),1631500206,16,13,3,0
COMP 4971C,R1 (4161),1631590207,16,14,2,0
COMP 4971C,R1 (4161),1631592006,16,15,1,0
COMP 4971C,R1 (4161),1631601906,17,15,2,0
COMP 4971C,R1 (4161),1631604606,17,16,1,0
