courseCode,section,recordTime,quota,enrol,avail,wait
HUMA 1720,L1 (2603),1629941760,60,21,39,61
HUMA 1720,L1 (2603),1629942660,60,21,39,96
HUMA 1720,L1 (2603),1629944460,60,24,36,93
HUMA 1720,L1 (2603),1629945360,60,24,36,128
HUMA 1720,L1 (2603),1629946500,60,24,36,162
HUMA 1720,L1 (2603),1629947100,60,24,36,170
HUMA 1720,L1 (2603),1629948300,60,32,28,160
HUMA 1720,L1 (2603),1629948900,60,32,28,229
HUMA 1720,L1 (2603),1629950100,60,32,28,235
HUMA 1720,L1 (2603),1629950700,60,32,28,238
HUMA 1720,L1 (2603),1629951600,60,39,21,231
HUMA 1720,L1 (2603),1629952500,60,39,21,280
HUMA 1720,L1 (2603),1629953400,60,39,21,286
HUMA 1720,L1 (2603),1629954300,60,39,21,285
HUMA 1720,L1 (2603),1629955200,60,39,21,284
HUMA 1720,L1 (2603),1629956100,60,47,13,298
HUMA 1720,L1 (2603),1629957000,60,47,13,294
HUMA 1720,L1 (2603),1629957900,60,46,14,294
HUMA 1720,L1 (2603),1629958800,60,47,13,294
HUMA 1720,L1 (2603),1629959700,60,52,8,307
HUMA 1720,L1 (2603),1629962400,60,52,8,309
HUMA 1720,L1 (2603),1629963300,60,56,4,324
HUMA 1720,L1 (2603),1629964200,60,56,4,328
HUMA 1720,L1 (2603),1629965700,60,56,4,326
HUMA 1720,L1 (2603),1629966600,60,56,4,325
HUMA 1720,L1 (2603),1629967500,60,58,2,342
HUMA 1720,L1 (2603),1629968400,60,58,2,337
HUMA 1720,L1 (2603),1629969300,60,58,2,338
HUMA 1720,L1 (2603),1629971100,60,60,0,336
HUMA 1720,L1 (2603),1629972900,60,59,1,335
HUMA 1720,L1 (2603),1629974700,60,60,0,335
HUMA 1720,L1 (2603),1629975600,60,60,0,336
HUMA 1720,L1 (2603),1629977400,60,60,0,337
HUMA 1720,L1 (2603),1629979200,60,60,0,338
HUMA 1720,L1 (2603),1629981900,60,60,0,337
HUMA 1720,L1 (2603),1629984600,60,60,0,339
HUMA 1720,L1 (2603),1629986400,60,60,0,338
HUMA 1720,L1 (2603),1629988200,60,60,0,337
HUMA 1720,L1 (2603),1629993600,60,60,0,336
HUMA 1720,L1 (2603),1630029600,60,60,0,344
HUMA 1720,L1 (2603),1630031400,60,60,0,343
HUMA 1720,L1 (2603),1630035000,60,60,0,344
HUMA 1720,L1 (2603),1630036800,60,60,0,354
HUMA 1720,L1 (2603),1630037700,60,60,0,355
HUMA 1720,L1 (2603),1630038600,60,60,0,356
HUMA 1720,L1 (2603),1630039500,60,60,0,364
HUMA 1720,L1 (2603),1630040400,60,60,0,363
HUMA 1720,L1 (2603),1630041300,60,60,0,364
HUMA 1720,L1 (2603),1630046700,60,60,0,368
HUMA 1720,L1 (2603),1630047600,60,60,0,369
HUMA 1720,L1 (2603),1630048500,60,60,0,367
HUMA 1720,L1 (2603),1630050300,60,60,0,373
HUMA 1720,L1 (2603),1630051200,60,60,0,374
HUMA 1720,L1 (2603),1630052100,60,60,0,373
HUMA 1720,L1 (2603),1630053900,60,60,0,376
HUMA 1720,L1 (2603),1630058400,60,60,0,377
HUMA 1720,L1 (2603),1630059300,60,60,0,376
HUMA 1720,L1 (2603),1630062900,60,60,0,377
HUMA 1720,L1 (2603),1630063800,60,60,0,378
HUMA 1720,L1 (2603),1630071000,60,60,0,377
HUMA 1720,L1 (2603),1630076400,60,60,0,376
HUMA 1720,L1 (2603),1630108800,60,60,0,373
HUMA 1720,L1 (2603),1630116000,60,60,0,372
HUMA 1720,L1 (2603),1630121400,60,60,0,373
HUMA 1720,L1 (2603),1630130400,60,60,0,372
HUMA 1720,L1 (2603),1630132200,60,60,0,371
HUMA 1720,L1 (2603),1630136700,60,60,0,369
HUMA 1720,L1 (2603),1630140300,60,60,0,370
HUMA 1720,L1 (2603),1630146600,60,60,0,371
HUMA 1720,L1 (2603),1630149300,60,60,0,370
HUMA 1720,L1 (2603),1630177200,60,60,0,369
HUMA 1720,L1 (2603),1630204200,60,60,0,368
HUMA 1720,L1 (2603),1630226700,60,60,0,367
HUMA 1720,L1 (2603),1630237500,60,60,0,368
HUMA 1720,L1 (2603),1630238400,60,60,0,367
HUMA 1720,L1 (2603),1630241100,60,60,0,366
HUMA 1720,L1 (2603),1630247400,60,60,0,365
HUMA 1720,L1 (2603),1630249200,60,60,0,364
HUMA 1720,L1 (2603),1630263600,60,60,0,362
HUMA 1720,L1 (2603),1630296000,60,60,0,360
HUMA 1720,L1 (2603),1630299600,60,60,0,361
HUMA 1720,L1 (2603),1630300500,60,60,0,359
HUMA 1720,L1 (2603),1630305000,60,60,0,358
HUMA 1720,L1 (2603),1630309500,60,60,0,357
HUMA 1720,L1 (2603),1630310400,60,60,0,358
HUMA 1720,L1 (2603),1630314900,60,60,0,359
HUMA 1720,L1 (2603),1630328400,60,60,0,358
HUMA 1720,L1 (2603),1630357200,60,60,0,357
HUMA 1720,L1 (2603),1630368000,60,59,1,357
HUMA 1720,L1 (2603),1630375200,60,60,0,356
HUMA 1720,L1 (2603),1630377000,60,60,0,355
HUMA 1720,L1 (2603),1630383300,60,60,0,354
HUMA 1720,L1 (2603),1630386900,60,60,0,352
HUMA 1720,L1 (2603),1630387800,60,60,0,351
HUMA 1720,L1 (2603),1630389600,60,60,0,350
HUMA 1720,L1 (2603),1630393200,60,59,1,350
HUMA 1720,L1 (2603),1630395900,60,60,0,349
HUMA 1720,L1 (2603),1630398600,60,60,0,348
HUMA 1720,L1 (2603),1630399500,60,60,0,349
HUMA 1720,L1 (2603),1630402200,60,60,0,348
HUMA 1720,L1 (2603),1630404000,60,60,0,347
HUMA 1720,L1 (2603),1630405800,60,60,0,346
HUMA 1720,L1 (2603),1630410300,60,59,1,346
HUMA 1720,L1 (2603),1630413000,60,59,1,345
HUMA 1720,L1 (2603),1630413900,60,60,0,344
HUMA 1720,L1 (2603),1630416600,60,60,0,343
HUMA 1720,L1 (2603),1630418400,60,60,0,342
HUMA 1720,L1 (2603),1630420200,60,60,0,341
HUMA 1720,L1 (2603),1630422000,60,60,0,340
HUMA 1720,L1 (2603),1630425600,60,60,0,339
HUMA 1720,L1 (2603),1630461600,60,60,0,337
HUMA 1720,L1 (2603),1630463400,60,60,0,336
HUMA 1720,L1 (2603),1630468800,60,60,0,335
HUMA 1720,L1 (2603),1630473300,60,60,0,334
HUMA 1720,L1 (2603),1630479600,60,60,0,333
HUMA 1720,L1 (2603),1630482300,60,60,0,332
HUMA 1720,L1 (2603),1630483200,60,60,0,331
HUMA 1720,L1 (2603),1630484100,60,60,0,330
HUMA 1720,L1 (2603),1630485900,60,59,1,329
HUMA 1720,L1 (2603),1630489500,60,60,0,328
HUMA 1720,L1 (2603),1630490400,60,60,0,327
HUMA 1720,L1 (2603),1630491300,60,60,0,326
HUMA 1720,L1 (2603),1630495800,60,60,0,325
HUMA 1720,L1 (2603),1630498500,60,60,0,324
HUMA 1720,L1 (2603),1630504800,60,60,0,323
HUMA 1720,L1 (2603),1630512000,60,60,0,322
HUMA 1720,L1 (2603),1630522800,60,60,0,321
HUMA 1720,L1 (2603),1630549800,60,60,0,319
HUMA 1720,L1 (2603),1630553400,60,59,1,319
HUMA 1720,L1 (2603),1630555200,60,60,0,317
HUMA 1720,L1 (2603),1630558800,60,60,0,316
HUMA 1720,L1 (2603),1630560600,60,59,1,316
HUMA 1720,L1 (2603),1630561500,60,60,0,315
HUMA 1720,L1 (2603),1630563300,60,60,0,314
HUMA 1720,L1 (2603),1630565100,60,60,0,312
HUMA 1720,L1 (2603),1630566900,60,60,0,311
HUMA 1720,L1 (2603),1630577700,60,60,0,312
HUMA 1720,L1 (2603),1630578600,60,60,0,311
HUMA 1720,L1 (2603),1630583100,60,60,0,312
HUMA 1720,L1 (2603),1630591200,60,60,0,313
HUMA 1720,L1 (2603),1630594800,60,60,0,312
HUMA 1720,L1 (2603),1630634400,60,60,0,310
HUMA 1720,L1 (2603),1630641600,60,60,0,309
HUMA 1720,L1 (2603),1630648800,60,59,1,309
HUMA 1720,L1 (2603),1630651500,60,60,0,308
HUMA 1720,L1 (2603),1630658700,60,60,0,307
HUMA 1720,L1 (2603),1630695600,60,60,0,306
HUMA 1720,L1 (2603),1630746900,60,60,0,307
HUMA 1720,L1 (2603),1630751400,60,60,0,306
HUMA 1720,L1 (2603),1630762200,60,60,0,305
HUMA 1720,L1 (2603),1630767600,60,60,0,306
HUMA 1720,L1 (2603),1630782000,60,60,0,305
HUMA 1720,L1 (2603),1630816200,60,60,0,304
HUMA 1720,L1 (2603),1630834200,60,60,0,303
HUMA 1720,L1 (2603),1630837800,60,60,0,302
HUMA 1720,L1 (2603),1630895400,60,60,0,301
