courseCode,section,recordTime,quota,enrol,avail,wait
LIFS 4760,L1 (3258),1629941766,100,18,82,0
LIFS 4760,L1 (3258),1629942669,100,23,77,0
LIFS 4760,L1 (3258),1629945369,100,34,66,0
LIFS 4760,L1 (3258),1629946509,100,45,55,0
LIFS 4760,L1 (3258),1629947108,100,50,50,0
LIFS 4760,L1 (3258),1629948309,100,52,48,0
LIFS 4760,L1 (3258),1629948908,100,76,24,0
LIFS 4760,L1 (3258),1629950108,100,80,20,0
LIFS 4760,L1 (3258),1629950709,100,82,18,0
LIFS 4760,L1 (3258),1629952508,100,100,0,6
LIFS 4760,L1 (3258),1629953409,100,100,0,7
LIFS 4760,L1 (3258),1629956109,100,100,0,15
LIFS 4760,L1 (3258),1629957010,100,100,0,17
LIFS 4760,L1 (3258),1629959709,100,100,0,21
LIFS 4760,L1 (3258),1629961509,100,100,0,23
LIFS 4760,L1 (3258),1629962411,100,100,0,22
LIFS 4760,L1 (3258),1629963308,100,100,0,31
LIFS 4760,L1 (3258),1629964209,100,100,0,32
LIFS 4760,L1 (3258),1629965709,100,100,0,33
LIFS 4760,L1 (3258),1629967509,100,100,0,41
LIFS 4760,L1 (3258),1629971109,100,100,0,40
LIFS 4760,L1 (3258),1629981010,100,100,0,41
LIFS 4760,L1 (3258),1629990009,100,100,0,40
LIFS 4760,L1 (3258),1630029609,100,100,0,43
LIFS 4760,L1 (3258),1630033210,145,130,15,14
LIFS 4760,L1 (3258),1630035010,145,130,15,13
LIFS 4760,L1 (3258),1630041310,145,130,15,14
LIFS 4760,L1 (3258),1630043109,145,131,14,14
LIFS 4760,L1 (3258),1630046709,145,131,14,15
LIFS 4760,L1 (3258),1630050310,145,130,15,15
LIFS 4760,L1 (3258),1630053010,145,130,15,18
LIFS 4760,L1 (3258),1630053910,145,134,11,14
LIFS 4760,L1 (3258),1630057510,145,133,12,14
LIFS 4760,L1 (3258),1630071009,145,133,12,15
LIFS 4760,L1 (3258),1630074609,145,133,12,14
LIFS 4760,L1 (3258),1630204210,145,133,12,15
LIFS 4760,L1 (3258),1630206010,145,134,11,14
LIFS 4760,L1 (3258),1630238411,145,134,11,15
LIFS 4760,L1 (3258),1630245611,145,134,11,14
LIFS 4760,L1 (3258),1630299610,145,133,12,14
LIFS 4760,L1 (3258),1630305912,145,134,11,13
LIFS 4760,L1 (3258),1630309510,145,135,10,12
LIFS 4760,L1 (3258),1630311310,160,135,25,12
LIFS 4760,L1 (3258),1630314910,160,134,26,12
LIFS 4760,L1 (3258),1630327510,160,135,25,11
LIFS 4760,L1 (3258),1630332011,160,134,26,11
LIFS 4760,L1 (3258),1630335610,160,135,25,11
LIFS 4760,L1 (3258),1630378811,160,135,25,12
LIFS 4760,L1 (3258),1630380612,160,135,25,13
LIFS 4760,L1 (3258),1630382411,160,137,23,11
LIFS 4760,L1 (3258),1630395912,160,139,21,9
LIFS 4760,L1 (3258),1630400410,160,139,21,10
LIFS 4760,L1 (3258),1630403111,160,141,19,9
LIFS 4760,L1 (3258),1630412110,160,140,20,9
LIFS 4760,L1 (3258),1630422010,160,140,20,10
LIFS 4760,L1 (3258),1630425612,160,141,19,9
LIFS 4760,L1 (3258),1630463411,160,141,19,10
LIFS 4760,L1 (3258),1630465211,160,141,19,9
LIFS 4760,L1 (3258),1630474210,160,141,19,10
LIFS 4760,L1 (3258),1630481410,160,141,19,11
LIFS 4760,L1 (3258),1630482309,160,142,18,10
LIFS 4760,L1 (3258),1630484111,160,142,18,11
LIFS 4760,L1 (3258),1630485909,160,143,17,10
LIFS 4760,L1 (3258),1630489510,160,143,17,11
LIFS 4760,L1 (3258),1630493109,160,144,16,10
LIFS 4760,L1 (3258),1630494010,160,144,16,11
LIFS 4760,L1 (3258),1630497611,160,145,15,10
LIFS 4760,L1 (3258),1630508410,160,145,15,11
LIFS 4760,L1 (3258),1630512012,160,146,14,10
LIFS 4760,L1 (3258),1630551610,160,145,15,10
LIFS 4760,L1 (3258),1630555211,160,145,15,11
LIFS 4760,L1 (3258),1630557911,160,146,14,10
LIFS 4760,L1 (3258),1630560610,160,146,14,11
LIFS 4760,L1 (3258),1630568709,160,147,13,10
LIFS 4760,L1 (3258),1630571410,160,148,12,10
LIFS 4760,L1 (3258),1630574110,160,148,12,11
LIFS 4760,L1 (3258),1630575910,160,149,11,10
LIFS 4760,L1 (3258),1630582211,160,149,11,9
LIFS 4760,L1 (3258),1630649710,160,149,11,10
LIFS 4760,L1 (3258),1630651509,160,150,10,9
LIFS 4760,L1 (3258),1630659611,160,150,10,10
LIFS 4760,L1 (3258),1630662309,160,151,9,9
LIFS 4760,L1 (3258),1630663210,160,150,10,9
LIFS 4760,L1 (3258),1630677610,160,151,9,8
LIFS 4760,L1 (3258),1630848610,160,150,10,8
LIFS 4760,L1 (3258),1630852210,160,150,10,9
LIFS 4760,L1 (3258),1630854011,160,151,9,8
