courseCode,section,recordTime,quota,enrol,avail,wait
MATH 3043,L1 (3554),1629906546,40,9,31,0
MATH 3043,L1 (3554),1629945362,40,11,29,0
MATH 3043,L1 (3554),1629952502,40,13,27,0
MATH 3043,L1 (3554),1629956103,40,14,26,0
MATH 3043,L1 (3554),1629957903,40,15,25,0
MATH 3043,L1 (3554),1629959702,40,16,24,0
MATH 3043,L1 (3554),1629960602,40,17,23,0
MATH 3043,L1 (3554),1629963303,40,18,22,0
MATH 3043,L1 (3554),1629972003,40,19,21,0
MATH 3043,L1 (3554),1629978303,40,20,20,0
MATH 3043,L1 (3554),1629980103,40,21,19,0
MATH 3043,L1 (3554),1629982803,40,22,18,0
MATH 3043,L1 (3554),1629984604,40,23,17,0
MATH 3043,L1 (3554),1629990002,40,24,16,0
MATH 3043,L1 (3554),1630029602,40,25,15,0
MATH 3043,L1 (3554),1630033203,40,27,13,0
MATH 3043,L1 (3554),1630036803,40,29,11,0
MATH 3043,L1 (3554),1630053003,40,30,10,0
MATH 3043,L1 (3554),1630053902,40,31,9,0
MATH 3043,L1 (3554),1630078203,40,32,8,0
MATH 3043,L1 (3554),1630298703,40,33,7,0
MATH 3043,L1 (3554),1630309502,40,34,6,0
MATH 3043,L1 (3554),1630385102,40,34,6,1
MATH 3043,L1 (3554),1630404903,40,34,6,2
MATH 3043,L1 (3554),1630406703,40,35,5,1
MATH 3043,L1 (3554),1630414803,40,34,6,1
MATH 3043,L1 (3554),1630418403,40,35,5,0
MATH 3043,L1 (3554),1630467003,40,36,4,0
MATH 3043,L1 (3554),1630562403,40,37,3,0
MATH 3043,L1 (3554),1630661403,40,36,4,0
MATH 3043,L1 (3554),1630938603,40,35,5,0
MATH 3043,L1 (3554),1630962002,40,36,4,0
MATH 3043,L1 (3554),1631002502,40,35,5,0
MATH 3043,L1 (3554),1631003402,40,36,4,0
MATH 3043,L1 (3554),1631096102,40,37,3,0
MATH 3043,L1 (3554),1631520903,40,36,4,0
MATH 3043,L1 (3554),1631590203,40,37,3,0
MATH 3043,L1 (3554),1631599203,40,36,4,0
