courseCode,section,recordTime,quota,enrol,avail,wait
OCES 3302,L1 (3752),1629946510,30,0,30,0
OCES 3302,L1 (3752),1629950110,30,1,29,0
OCES 3302,L1 (3752),1629956110,30,4,26,0
OCES 3302,L1 (3752),1629959710,30,8,22,0
OCES 3302,L1 (3752),1629963310,30,12,18,0
OCES 3302,L1 (3752),1629964211,30,13,17,0
OCES 3302,L1 (3752),1629967510,30,16,14,0
OCES 3302,L1 (3752),1629972010,30,17,13,0
OCES 3302,L1 (3752),1630029611,30,18,12,0
OCES 3302,L1 (3752),1630040411,30,19,11,0
OCES 3302,L1 (3752),1630049411,30,20,10,0
OCES 3302,L1 (3752),1630063812,30,21,9,0
OCES 3302,L1 (3752),1630064712,30,22,8,0
OCES 3302,L1 (3752),1630068310,30,21,9,0
OCES 3302,L1 (3752),1630128612,30,22,8,0
OCES 3302,L1 (3752),1630314012,30,21,9,0
OCES 3302,L1 (3752),1630508412,30,20,10,0
OCES 3302,L1 (3752),1630647012,30,21,9,0
OCES 3302,L1 (3752),1630741511,30,22,8,0
OCES 3302,L1 (3752),1631001612,30,21,9,0
OCES 3302,L1 (3752),1631244611,30,22,8,0
OCES 3302,L1 (3752),1631340911,30,21,9,0
