courseCode,section,recordTime,quota,enrol,avail,wait
SOSC 1960,L1 (4012),1629635701,120,1,119,0
SOSC 1960,L1 (4012),1629941760,120,31,89,0
SOSC 1960,L1 (4012),1629942661,120,43,77,7
SOSC 1960,L1 (4012),1629943561,120,42,78,8
SOSC 1960,L1 (4012),1629944461,120,42,78,9
SOSC 1960,L1 (4012),1629945361,120,42,78,32
SOSC 1960,L1 (4012),1629946501,120,42,78,56
SOSC 1960,L1 (4012),1629947101,120,42,78,68
SOSC 1960,L1 (4012),1629948901,120,46,74,102
SOSC 1960,L1 (4012),1629950101,120,46,74,113
SOSC 1960,L1 (4012),1629950701,120,46,74,114
SOSC 1960,L1 (4012),1629952501,120,48,72,158
SOSC 1960,L1 (4012),1629953401,120,48,72,166
SOSC 1960,L1 (4012),1629955201,120,48,72,167
SOSC 1960,L1 (4012),1629956102,120,52,68,226
SOSC 1960,L1 (4012),1629957002,120,52,68,229
SOSC 1960,L1 (4012),1629957902,120,52,68,230
SOSC 1960,L1 (4012),1629958801,120,52,68,229
SOSC 1960,L1 (4012),1629959701,120,56,64,272
SOSC 1960,L1 (4012),1629960601,120,56,64,277
SOSC 1960,L1 (4012),1629961501,120,56,64,275
SOSC 1960,L1 (4012),1629963301,120,65,55,314
SOSC 1960,L1 (4012),1629964201,120,65,55,322
SOSC 1960,L1 (4012),1629965701,120,65,55,319
SOSC 1960,L1 (4012),1629967502,120,72,48,341
SOSC 1960,L1 (4012),1629968402,120,72,48,340
SOSC 1960,L1 (4012),1629970202,120,72,48,339
SOSC 1960,L1 (4012),1629971102,120,76,44,333
SOSC 1960,L1 (4012),1629972002,120,76,44,334
SOSC 1960,L1 (4012),1629974702,120,76,44,335
SOSC 1960,L1 (4012),1629977401,120,76,44,336
SOSC 1960,L1 (4012),1629978301,120,76,44,334
SOSC 1960,L1 (4012),1629981001,120,76,44,335
SOSC 1960,L1 (4012),1629984601,120,76,44,334
SOSC 1960,L1 (4012),1629986402,120,76,44,333
SOSC 1960,L1 (4012),1629988201,120,76,44,334
SOSC 1960,L1 (4012),1629997202,120,76,44,333
SOSC 1960,L1 (4012),1630000802,120,76,44,331
SOSC 1960,L1 (4012),1630029602,120,76,44,354
SOSC 1960,L1 (4012),1630031402,120,76,44,360
SOSC 1960,L1 (4012),1630033202,120,79,41,390
SOSC 1960,L1 (4012),1630035002,120,79,41,391
SOSC 1960,L1 (4012),1630036802,120,81,39,418
SOSC 1960,L1 (4012),1630037702,120,81,39,417
SOSC 1960,L1 (4012),1630039502,120,87,33,438
